accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8325250148773193,0.9146508574485779,0.38061732053756714,0.8214820623397827,0.8496999740600586,0.9132999777793884,0.9711328744888306,0.24324795603752136,0.9007174968719482,0.9290000200271606,9.999999747378752e-05
0.8974499702453613,0.9634862542152405,0.24990561604499817,0.8832690715789795,0.9159500002861023,0.9275000095367432,0.9785670042037964,0.20286349952220917,0.9200235605239868,0.9363999962806702,9.999999747378752e-05
0.9134500026702881,0.9709905385971069,0.22038017213344574,0.9041544198989868,0.9249500036239624,0.9337000250816345,0.9813140630722046,0.1851009577512741,0.9247796535491943,0.9441999793052673,9.999999747378752e-05
0.9188500046730042,0.9742334485054016,0.20638017356395721,0.9100744128227234,0.9295499920845032,0.9369000196456909,0.9826962947845459,0.17599108815193176,0.9279137849807739,0.9473999738693237,9.999999747378752e-05
0.9204999804496765,0.9751486778259277,0.20169833302497864,0.9121741056442261,0.9305999875068665,0.9380999803543091,0.9835861921310425,0.17025667428970337,0.929762601852417,0.9477999806404114,9.999999747378752e-05
0.922950029373169,0.9763048887252808,0.19680429995059967,0.9161255359649658,0.9311500191688538,0.9405999779701233,0.9839749336242676,0.16676315665245056,0.9291000962257385,0.9539999961853027,9.999999747378752e-05
0.9229249954223633,0.9769318103790283,0.1940213441848755,0.9170241355895996,0.9300000071525574,0.9419000148773193,0.9844576716423035,0.16359108686447144,0.9304500222206116,0.9552000164985657,9.999999747378752e-05
0.9261999726295471,0.9779227375984192,0.1893252730369568,0.9194056391716003,0.9343000054359436,0.9422000050544739,0.9847866296768188,0.16083525121212006,0.9336994886398315,0.9520000219345093,9.999999747378752e-05
0.927524983882904,0.9787811636924744,0.18519450724124908,0.920771598815918,0.9355499744415283,0.942300021648407,0.9850611090660095,0.15957950055599213,0.930001974105835,0.95660001039505,9.999999747378752e-05
0.9303500056266785,0.979301929473877,0.1831812560558319,0.924785315990448,0.9369000196456909,0.9424999952316284,0.9852295517921448,0.15770019590854645,0.9328898191452026,0.9535999894142151,9.999999747378752e-05
